"","Interest.Group","Year","total_contributions","amount_contributed","recipient"
"2119","VERMONT FUND FOR FAMILIES",2004,4525,3000,"Party Committee"
"2120","VERMONT FUND FOR FAMILIES",2004,4525,1525,"Candidate"
"2121","VERMONT FUND FOR FAMILIES",2003,1250,1250,"Party Committee"
"2122","VERMONT FUND FOR FAMILIES",2003,1250,0,"Candidate"
"2123","VERMONT FUND FOR FAMILIES",2002,10788.64,3000,"Party Committee"
"2124","VERMONT FUND FOR FAMILIES",2002,10788.64,7788.64,"Candidate"
"2125","VERMONT FUND FOR FAMILIES",2000,1038.13,0,"Party Committee"
"2126","VERMONT FUND FOR FAMILIES",2000,1038.13,1038.13,"Candidate"
"2127","VERMONTERS FOR CIVIL UNIONS",2003,1000,1000,"Party Committee"
"2128","VERMONTERS FOR CIVIL UNIONS",2003,1000,0,"Candidate"
"2129","VERMONTERS FOR CIVIL UNIONS",2002,1600,1000,"Party Committee"
"2130","VERMONTERS FOR CIVIL UNIONS",2002,1600,600,"Candidate"
"2131","VERMONTERS FOR CIVIL UNIONS",2001,3000,3000,"Party Committee"
"2132","VERMONTERS FOR CIVIL UNIONS",2001,3000,0,"Candidate"
"2133","VERMONTERS FOR CIVIL UNIONS",2000,9350,4000,"Party Committee"
"2134","VERMONTERS FOR CIVIL UNIONS",2000,9350,5350,"Candidate"
"2135","VICTORY FOUNDATION GAY/LESBIAN VICTORY FUND",1998,6950,0,"Party Committee"
"2136","VICTORY FOUNDATION GAY/LESBIAN VICTORY FUND",1998,6950,6950,"Candidate"
"2137","VICTORY FUND PAC",2012,3500,0,"Party Committee"
"2138","VICTORY FUND PAC",2012,3500,3500,"Candidate"
"2139","VIRGINIA LOG CABIN REPUBLICANS OF NOVA",2003,2700,0,"Party Committee"
"2140","VIRGINIA LOG CABIN REPUBLICANS OF NOVA",2003,2700,2700,"Candidate"
"2141","VIRGINIA LOG CABIN REPUBLICANS OF NOVA",2002,1250,0,"Party Committee"
"2142","VIRGINIA LOG CABIN REPUBLICANS OF NOVA",2002,1250,1250,"Candidate"
"2143","VIRGINIA LOG CABIN REPUBLICANS OF NOVA",2001,4000,0,"Party Committee"
"2144","VIRGINIA LOG CABIN REPUBLICANS OF NOVA",2001,4000,4000,"Candidate"
"2145","VIRGINIA LOG CABIN REPUBLICANS OF NOVA",2000,3000,0,"Party Committee"
"2146","VIRGINIA LOG CABIN REPUBLICANS OF NOVA",2000,3000,3000,"Candidate"
"2147","VIRGINIA PARTISAN GAY & LESBIAN DEMO",1999,400,0,"Party Committee"
"2148","VIRGINIA PARTISAN GAY & LESBIAN DEMO",1999,400,400,"Candidate"
"2149","VIRGINIA PARTISAN PAC",2003,5744.28,1044.28,"Party Committee"
"2150","VIRGINIA PARTISAN PAC",2003,5744.28,4700,"Candidate"
"2151","VIRGINIA PARTISAN PAC",2002,1214.17,1214.17,"Party Committee"
"2152","VIRGINIA PARTISAN PAC",2002,1214.17,0,"Candidate"
"2153","VIRGINIA PARTISANS GAY & LESBIAN DEMOCRATIC CLUB",2012,1000,0,"Party Committee"
"2154","VIRGINIA PARTISANS GAY & LESBIAN DEMOCRATIC CLUB",2012,1000,1000,"Candidate"
"2155","VIRGINIA PARTISANS GAY & LESBIAN DEMOCRATIC CLUB",2011,15328.45,0,"Party Committee"
"2156","VIRGINIA PARTISANS GAY & LESBIAN DEMOCRATIC CLUB",2011,15328.45,15328.45,"Candidate"
"2157","VIRGINIA PARTISANS GAY & LESBIAN DEMOCRATIC CLUB",2009,9600,0,"Party Committee"
"2158","VIRGINIA PARTISANS GAY & LESBIAN DEMOCRATIC CLUB",2009,9600,9600,"Candidate"
"2159","VIRGINIA PARTISANS GAY & LESBIAN DEMOCRATIC CLUB",2007,16999,0,"Party Committee"
"2160","VIRGINIA PARTISANS GAY & LESBIAN DEMOCRATIC CLUB",2007,16999,16999,"Candidate"
"2161","VIRGINIA PARTISANS GAY & LESBIAN DEMOCRATIC CLUB",2006,1500,0,"Party Committee"
"2162","VIRGINIA PARTISANS GAY & LESBIAN DEMOCRATIC CLUB",2006,1500,1500,"Candidate"
"2163","VIRGINIA PARTISANS GAY & LESBIAN PAC",2009,1000,0,"Party Committee"
"2164","VIRGINIA PARTISANS GAY & LESBIAN PAC",2009,1000,1000,"Candidate"
"2165","VIRGINIA PARTISANS GAY & LESBIAN PAC",2007,125,0,"Party Committee"
"2166","VIRGINIA PARTISANS GAY & LESBIAN PAC",2007,125,125,"Candidate"
"2167","VOID, URVASHI",2008,124.8,0,"Party Committee"
"2168","VOID, URVASHI",2008,124.8,124.8,"Candidate"
"2169","WASHINGTON STATE STONEWALL DEMOCRATS",2010,150,150,"Party Committee"
"2170","WASHINGTON STATE STONEWALL DEMOCRATS",2010,150,0,"Candidate"
"2171","WASHINGTON STATE STONEWALL DEMOCRATS",2009,330,330,"Party Committee"
"2172","WASHINGTON STATE STONEWALL DEMOCRATS",2009,330,0,"Candidate"
"2173","WASHINGTON STONEWALL DEMOCRATS",2003,50,50,"Party Committee"
"2174","WASHINGTON STONEWALL DEMOCRATS",2003,50,0,"Candidate"
"2175","WASHINGTON UNITED FOR MARRIAGE",2012,4850,4850,"Party Committee"
"2176","WASHINGTON UNITED FOR MARRIAGE",2012,4850,0,"Candidate"
"2177","WASHINGTON WONT DISCRIMINATE",2006,17600,300,"Party Committee"
"2178","WASHINGTON WONT DISCRIMINATE",2006,17600,17300,"Candidate"
"2179","WASHTENAW RAINBOW ACTION PROJECT",2004,300,0,"Party Committee"
"2180","WASHTENAW RAINBOW ACTION PROJECT",2004,300,300,"Candidate"
"2181","WESTERN MONTANA GAY & LESBIAN COMMUNITY",2004,497.5,0,"Party Committee"
"2182","WESTERN MONTANA GAY & LESBIAN COMMUNITY",2004,497.5,497.5,"Candidate"
"2183","WILLIAM & MARY GAY LESBIAN ALUMNI",2012,750,0,"Party Committee"
"2184","WILLIAM & MARY GAY LESBIAN ALUMNI",2012,750,750,"Candidate"
"2185","WILLIAM BRYAN STRYKER ELECCONTRACTING INC",2000,500,0,"Party Committee"
"2186","WILLIAM BRYAN STRYKER ELECCONTRACTING INC",2000,500,500,"Candidate"
"2187","WINGSPAN",2008,375,0,"Party Committee"
"2188","WINGSPAN",2008,375,375,"Candidate"
"2189","YES FOR MARRIAGE & EQUALITY PAC",2007,233.13,0,"Party Committee"
"2190","YES FOR MARRIAGE & EQUALITY PAC",2007,233.13,233.13,"Candidate"
